generation,N_shifts,logPrior,logLik,eventRate,acceptRate
4400000,59,-212.311,-11286.4,68.813,0.3034
4410000,74,-232.6,-11267.5,74.6402,0.3038
4420000,68,-214.805,-11365,49.0109,0.3012
4430000,62,-195.923,-11348.4,56.6708,0.3083
4440000,61,-205.578,-11300.4,60.2605,0.2949
4450000,58,-188.704,-11321.1,70.0467,0.3054
4460000,60,-194.576,-11274.3,56.7184,0.2997
4470000,58,-204.338,-11266.5,56.9583,0.3049
4480000,42,-154.573,-11303.5,33.5966,0.2989
4490000,51,-167.237,-11342.7,56.5271,0.3068
4500000,57,-195.096,-11293.6,54.3171,0.2989
4510000,54,-191.964,-11326.1,44.7025,0.2975
4520000,49,-170.274,-11311.3,45.2012,0.3046
4530000,63,-216.857,-11359,64.4367,0.3147
4540000,69,-230.646,-11371.1,57.1405,0.3011
4550000,50,-180.511,-11347.4,47.614,0.3027
4560000,53,-190.653,-11390.2,50.2283,0.2987
4570000,55,-189.417,-11315.9,38.8882,0.3011
4580000,73,-243.92,-11320,78.8366,0.3011
4590000,68,-221.438,-11276.2,62.7332,0.3031
4600000,60,-211.885,-11317.9,59.341,0.3111
4610000,56,-189.769,-11280.5,57.9091,0.3024
4620000,66,-216.695,-11264,54.7258,0.3006
4630000,67,-226.584,-11284.3,66.4761,0.2991
4640000,54,-186.06,-11257.4,43.4221,0.3015
4650000,75,-243.33,-11339.6,81.241,0.3062
4660000,72,-232.372,-11298.8,64.299,0.308
4670000,76,-237.905,-11279,66.1582,0.3002
4680000,50,-172.126,-11306.2,41.5899,0.3082
4690000,68,-215.228,-11304.6,71.6118,0.3071
4700000,64,-204.616,-11280.4,65.963,0.299
4710000,67,-227.774,-11302.3,73.2911,0.3105
4720000,73,-236.509,-11268.6,63.2832,0.3012
4730000,77,-257.313,-11233.5,57.5494,0.296
4740000,76,-253.01,-11258.6,89.045,0.2977
4750000,75,-246.787,-11282.6,83.4895,0.2941
4760000,67,-219.235,-11234.3,63.4617,0.3021
4770000,64,-198.039,-11266.1,64.5102,0.2979
4780000,77,-246.676,-11238.7,64.541,0.2943
4790000,64,-203.607,-11234,71.1744,0.2989
4800000,67,-224.326,-11256.1,69.9722,0.3038
4810000,73,-234.726,-11213.7,55.6173,0.3019
4820000,66,-208.893,-11213.9,69.6621,0.2959
4830000,62,-192.467,-11150.7,67.8317,0.3038
4840000,59,-195.426,-11204,55.9288,0.2954
4850000,57,-180.72,-11191.8,60.7038,0.3032
4860000,61,-190.824,-11172.9,64.3099,0.288
4870000,65,-206.612,-11218,61.5668,0.2896
4880000,64,-215.826,-11301.1,76.71,0.2931
4890000,66,-215.957,-11282.1,61.2034,0.3073
4900000,72,-225.02,-11294,71.0331,0.2947
4910000,62,-200.103,-11264.3,47.7458,0.2951
4920000,58,-194.899,-11223.8,65.4587,0.3008
4930000,61,-200.669,-11320.5,62.459,0.3034
4940000,66,-219.643,-11311.4,69.7254,0.3029
4950000,89,-270.073,-11298.1,81.2895,0.3032
4960000,72,-230.585,-11270,57.3019,0.3111
4970000,62,-200.569,-11346.9,63.5065,0.2977
4980000,49,-156.119,-11331,40.8737,0.2979
4990000,65,-205.805,-11327.6,76.2046,0.3023
5000000,64,-202.932,-11376.8,57.7988,0.3134
5010000,57,-186.703,-11324,65.5647,0.3061
5020000,63,-207.785,-11353.2,64.478,0.2997
5030000,57,-192.227,-11325.6,49.1208,0.31
5040000,58,-198.136,-11325.3,52.4461,0.3099
5050000,52,-171.329,-11294,47.7193,0.2945
5060000,62,-204.872,-11283,55.4874,0.3019
5070000,67,-219.483,-11293.9,60.8608,0.3089
5080000,57,-190.097,-11248.4,50.2299,0.2999
5090000,59,-204.124,-11270.4,66.3956,0.2983
5100000,72,-228.09,-11269.9,55.6545,0.3024
5110000,51,-169.195,-11278.3,51.4548,0.3026
5120000,54,-179.728,-11267.6,41.9258,0.3078
5130000,62,-206.236,-11266.6,68.3198,0.3025
5140000,60,-195.329,-11264.2,64.6219,0.3047
5150000,52,-171.633,-11267.4,45.1331,0.2997
5160000,50,-162.317,-11289.3,46.5126,0.2989
5170000,50,-181.799,-11286.7,49.2487,0.2936
5180000,53,-169.389,-11291.2,46.9462,0.3007
5190000,72,-239.084,-11372.1,57.9479,0.3063
5200000,55,-202.535,-11367.9,49.8575,0.3086
5210000,51,-177.031,-11363.3,52.1155,0.3079
5220000,71,-221.531,-11388.8,59.4521,0.3083
5230000,60,-198.275,-11347.3,55.0294,0.3115
5240000,64,-222.843,-11357.8,76.3325,0.3095
5250000,51,-181.997,-11391.6,56.734,0.3038
5260000,66,-222.286,-11439.6,66.95,0.3111
5270000,70,-235.209,-11342.8,85.2103,0.3099
5280000,60,-206.634,-11308.5,65.21,0.2995
5290000,52,-176.686,-11339.8,49.3604,0.3034
5300000,61,-199.84,-11353.4,55.96,0.2979
5310000,59,-208.422,-11389.3,58.9587,0.3096
5320000,54,-178.44,-11370.5,57.2184,0.3077
5330000,52,-178.46,-11329.5,55.1806,0.3066
5340000,52,-173.953,-11347.9,35.5267,0.304
5350000,60,-204.543,-11413.6,54.7675,0.309
5360000,63,-205.58,-11364,69.6467,0.301
5370000,58,-183.247,-11367.9,49.0805,0.3
5380000,51,-178.812,-11409.3,54.962,0.309
