generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1210000,56,-149.414,-10807.4,65.9647,0.4406
1220000,73,-186.511,-10828.3,62.1074,0.4454
1230000,71,-184.648,-10795.2,67.6423,0.452
1240000,51,-134.349,-10787.7,46.5311,0.4461
1250000,58,-160.629,-10798.7,45.4696,0.441
1260000,62,-170.911,-10836.9,56.6137,0.4464
1270000,63,-166.794,-10785.1,61.1127,0.4494
1280000,59,-163.071,-10804.6,53.6574,0.4431
1290000,63,-171.617,-10774.1,57.1236,0.4383
1300000,69,-180.387,-10796.1,83.6981,0.4442
1310000,62,-159.395,-10811.5,53.2632,0.4391
1320000,56,-145.704,-10860.5,60.649,0.4446
1330000,56,-149.917,-10757,68.5308,0.4424
1340000,48,-130.448,-10798.1,38.137,0.4463
1350000,48,-139.099,-10798,59.5574,0.4461
1360000,48,-140.676,-10799.2,43.4157,0.4453
1370000,64,-166.996,-10842.1,71.2841,0.4451
1380000,60,-160.957,-10840.4,61.7074,0.4529
1390000,76,-204.844,-10774.1,91.2923,0.4542
1400000,49,-135.996,-10800.4,51.1208,0.4459
1410000,49,-131.478,-10755.4,45.1686,0.4377
1420000,53,-149.812,-10775.3,57.3614,0.4348
1430000,45,-137.855,-10801.8,42.2099,0.4457
1440000,66,-201.806,-10843.5,61.8857,0.4454
1450000,55,-153.429,-10791.5,55.1434,0.4537
1460000,66,-179.981,-10769.7,57.4734,0.4443
1470000,57,-156.117,-10758,59.7065,0.4512
1480000,66,-170.09,-10752.1,64.0264,0.4405
1490000,74,-180.801,-10732.6,73.9126,0.4448
1500000,63,-162.126,-10719.1,64.2135,0.4344
1510000,66,-165.552,-10684.2,61.7284,0.4472
1520000,67,-165.169,-10715.9,47.4086,0.4434
1530000,57,-148.461,-10731.8,58.0263,0.4372
1540000,57,-152.638,-10744.2,45.7362,0.4329
1550000,54,-149.489,-10633.5,51.0007,0.4309
1560000,74,-189.39,-10686.1,76.7382,0.4472
1570000,73,-191.104,-10698.3,91.3596,0.4415
1580000,68,-195.1,-10767,72.2331,0.4485
1590000,56,-153.705,-10767.5,55.5249,0.4394
1600000,63,-177.175,-10784.9,68.2442,0.4369
1610000,65,-167.826,-10799.3,49.7371,0.4374
1620000,50,-132.919,-10763.8,42.4166,0.44
1630000,62,-159.592,-10709.2,66.9582,0.4349
1640000,55,-161.35,-10734.2,45.7037,0.4421
1650000,66,-176.002,-10736.5,56.086,0.4402
1660000,66,-162.153,-10716.6,66.8794,0.4466
1670000,60,-149.284,-10698.2,65.614,0.4255
1680000,46,-115.459,-10791.5,47.489,0.4436
1690000,61,-144.789,-10766.9,54.3955,0.4433
1700000,55,-147.463,-10795.3,43.0219,0.4452
1710000,55,-153.517,-10766.4,65.3434,0.4389
1720000,52,-128.486,-10728,52.3021,0.4334
1730000,54,-150.158,-10729.8,53.5784,0.4406
1740000,54,-145.952,-10745.5,48.6061,0.4519
1750000,53,-135.286,-10717.2,55.2511,0.4443
1760000,64,-163.971,-10805.1,69.6728,0.4538
