abbr,species
Lepcya,Leptogium_cyanescens
Lepfur,Leptogium_pseudofurfuraceum
Leplac,Leptogium_laceroides
Leplic,Scytinium_lichenoides
Lepmil,Leptogium_milligranum
Leppol,Scytinium_polycarpum
Lepsat,Leptogium_saturninum
Lepter,Scytinium_teretiusculum
Letcol,Letharia_columbiana
Letvul,Letharia_vulpina
Lobamp,Lobaria_amplissima
Lobhal,Lobaria_hallii
Loblin,Lobaria_linita
Lobore,Lobaria_oregana
Lobpul,Lobaria_pulmonaria
Lobque,Lobaria_quercizans
Lobrav,Lobaria_ravenelii
Lobret,Lobaria_retigera
Lobscr,Lobaria_scrobiculata
Lpcalb,Leptochidium_albociliatum
Melalb,Melanelixia_albertana
Melele,Melanohalea_elegantula
Melexa,Melanohalea_exasperata
Melexl,Melanohalea_exasperatula
Melgla,Melanelixia_glabratula
Melhal,Melanohalea_halei
Melmul,Melanohalea_multispora
Meloli,Melanohalea_olivacea
Melsar,Melanelixia_subargentifera
Melsel,Melanohalea_subelegantula
Melsep,Melanohalea_septentrionalis
Melsol,Melanohalea_subolivacea
Melsub,Melanelixia_subaurifera
Meltra,Melanohalea_trabeculata
Mensub,Menegazzia_subsimilis
Menter,Menegazzia_terebrata
Myeaur,Myelochroa_aurulenta
Myegal,Myelochroa_galbina
Myemet,Myelochroa_metarevoluta
Nepbel,Nephroma_bellum
Nephel,Nephroma_helveticum
Nepisi,Nephroma_isidiosum
Neplae,Nephroma_laevigatum
Nepocc,Nephroma_occultum
Neppar,Nephroma_parile
Nepres,Nephroma_resupinatum
Niecep,Niebla_cephalota
Nodabb,Nodobryoria_abbreviata
Nodore,Nodobryoria_oregana
Panahl,Fuscopannaria_ahlneri
Pancon,Pannaria_conoplea
Panled,Fuscopannaria_leucostictoides
Panleu,Fuscopannaria_leucosticta
Panmed,Fuscopannaria_mediterranea
Panpac,Fuscopannaria_pacifica
Panrub,Pannaria_rubiginosa
Pantav,Pannaria_tavaresii
Parbar,Parmelia_barrenoae
Parfer,Parmelia_fertilis
Parhyg,Parmelia_hygrophila
Parpse,Parmelia_pseudosulcata
Parsax,Parmelia_saxatilis
Parsqu,Parmelia_squarrosa
Parsul,Parmelia_sulcata
Pclchl,Physciella_chloantha
Pclmel,Physciella_melanchra
Pclnep,Physciella_nepalensis
Pcyano,Lobaria_anomala
Pcyant,Lobaria_anthraspis
Pcyaur,Pseudocyphellaria_aurata
Pcycro,Pseudocyphellaria_crocata
Pcymal,Pseudocyphellaria_mallota
Pcyper,Pseudocyphellaria_hawaiiensis
Pcyrai,Pseudocyphellaria_rainierensis
Pelbri,Peltigera_britannica
Pelcol,Peltigera_collina
Peleli,Peltigera_elisabethae
Pelmem,Peltigera_membranacea
Pelneo,Peltigera_neopolydactyla
Pelpol,Peltigera_polydactyla
Pelpra,Peltigera_praetextata
Pevcla,Pseudevernia_cladonia
Pevcon,Pseudevernia_consocians
Pevint,Pseudevernia_intensa
Phaadi,Phaeophyscia_adiastola
Phacil,Phaeophyscia_ciliata
Phaery,Phaeophyscia_erythrocardia
Phahir,Phaeophyscia_hirsuta
Phahis,Phaeophyscia_hispidula
Phahrt,Phaeophyscia_hirtella
Phains,Phaeophyscia_insignis
Phakai,Phaeophyscia_kairamoi
Phanig,Phaeophyscia_nigricans
Phaorb,Phaeophyscia_orbicularis
Phapus,Phaeophyscia_pusilloides
Pharub,Phaeophyscia_rubropulchra
Phoame,Physconia_americana
Phocal,Physconia_californica
Phodet,Physconia_detersa
Phoele,Physconia_elegantula
Phoent,Physconia_enteroxantha
Phofal,Physconia_fallax
Phoisi,Physconia_isidiigera
Pholeu,Physconia_leucoleiptes
Phoper,Physconia_perisidiosa
Phyads,Physcia_adscendens
Phyaip,Physcia_aipolia
Phyaln,Physcia_alnophila
Phyame,Physcia_americana
Phybiz,Physcia_biziana
Phycae,Physcia_caesia
Phycri,Physcia_crispa
Phydim,Physcia_dimidiata
Phydub,Physcia_dubia
Phymil,Physcia_millegrana
Phyneo,Physcia_neogaea
Physem,Physcia_leptalea
Physor,Physcia_sorediosa
Physte,Physcia_stellaris
Phyten,Physcia_tenella
Phyund,Physcia_undulata
Plagla,Platismatia_glauca
Plaher,Platismatia_herrei
Plalac,Platismatia_lacunosa
Planor,Platismatia_norvegica
Plaste,Platismatia_stenophylla
Platuc,Platismatia_tuckermanii
Pllpar,Parmeliella_parvula
Plltri,Parmeliella_triptophylla
Pmoarn,Parmotrema_arnoldii
Pmoaus,Parmotrema_austrosinense
Pmocet,Parmoterma_cetratum
Pmochi,Parmotrema_chinense
Pmocri,Parmotrema_crinitum
Pmocrs,Parmotrema_cristiferum
Pmodil,Parmotrema_dilatatum
Pmoend,Parmotrema_endosulphureum
Pmoeur,Parmotrema_eurysacum
Pmogar,Parmotrema_gardneri
Pmohai,Parmotrema_haitiense
Pmohyl,Parmotrema_hypoleucinum
Pmohyp,Parmotrema_hypotropum
Pmolou,Parmotrema_louisianae
Pmomad,Parmotrema_madagascariaceum
Pmomar,Parmotrema_margaritatum
Pmomel,Parmotrema_mellissii
Pmomic,Parmotrema_michauxianum
Pmoper,Parmotrema_perforatum
Pmoram,Parmotrema_rampoddense
Pmorig,Parmotrema_rigidum
Pmostu,Parmotrema_stuppeum
Pmosub,Canomaculina_subtinctoria
Pmosul,Parmotrema_sulphuratum
Pmotin,Parmotrema_tinctorum
Pmoult,Parmotrema_ultralucens
Pmoxan,Parmotrema_xanthinum
Pmozol,Parmotrema_zollingeri
Pnaque,Parmelina_coleae
Polcon,Leptogidium_contortum
Polden,Leptogidium_dendriscum
Popamb,Parmeliopsis_ambigua
Popcap,Parmeliopsis_capitata
Pophyp,Parmeliopsis_hyperopta
